Chapter	Character	Word Count	Percentage
Main
1	Nomad	2484	2.45
2	Nomad	2522	2.48
3	Nomad	2306	2.27
4	Nomad	1870	1.84
5	Nomad	2990	2.94
6	Nomad	3179	3.13
7	Nomad	2465	2.43
8	Nomad	2096	2.06
9	Nomad	1263	1.24
10	Nomad	1488	1.46
11	Nomad	2858	2.81
12	Nomad	2312	2.28
13	Nomad	2004	1.97
14	Nomad	1722	1.70
15	Nomad	1965	1.93
16	Nomad	2463	2.42
17	Nomad	1957	1.93
18	Nomad	1932	1.90
19	Nomad	3044	3.00
20	Nomad	2068	2.04
21	Nomad	2080	2.05
22	Nomad	1815	1.79
23	Nomad	1961	1.93
24	Nomad	2030	2.00
25	Nomad	1681	1.65
26	Nomad	2263	2.23
27	Nomad	1042	1.03
28	Nomad	1932	1.90
29	Nomad	2282	2.25
30	Nomad	2459	2.42
31	Nomad	532	0.52
32	Nomad	1908	1.88
33	Nomad	2271	2.24
34	Nomad	2384	2.35
35	Nomad	1247	1.23
36	Nomad	1516	1.49
37	Nomad	1492	1.47
38	Elegy	1455	1.43
39	Nomad	2304	2.27
40	Zellion	1935	1.90
41	Zellion	1386	1.36
42	Zellion	1857	1.83
43	Zellion	1354	1.33
44	Zellion	1524	1.50
45	Zellion	2923	2.88
46	Zellion	1451	1.43
47	Zellion	1310	1.29
48	Zellion	2168	2.13
49	Zellion	910	0.90
50	Zellion	1285	1.26
51	Zellion	1708	1.68
52	Zellion	654	0.64
Epilogue	Elegy, Truth-Is-Waiting, Zellion	1475	1.45